title,word,meaning
Questions,של מי?,whose?
Questions,איזה?,which? (m)
Questions,איזו?,which (f)
Questions,באיזה?,in which?
Questions,עם מי?,with who?
Questions,לאן?,where to?
Questions,למי?,to who?
Questions,ממי?,from who?
Questions,בשביל מה?,what for?
Questions,לשאול,to ask
Questions,לענות,"to answer, to reply"
Occupations,תלמיד,student
Occupations,רופא,doctor
Occupations,עבודה,work
Occupations,סופר,author
Occupations,מקצוע,profession
Occupations,דוגמן,model
Occupations,במאי,director
Occupations,קריירה,career
Occupations,צוות,"crew, team, staff"
Occupations,משטרה,police
Occupations,אמן,artist
Occupations,מזכיר,secretary
Occupations,צייר,painter
Occupations,שופט,"judge, referee"
Occupations,עורך דין,lawyer
Occupations,פועל,worker
Occupations,שוטר,policeman
Occupations,קצין,officer
Occupations,עיתונאי,journalist
Occupations,חייל,soldier
Occupations,קברניט,captain
Occupations,בוס,boss
Occupations,שומר,guard
Occupations,שחקן,"actor, player"
Occupations,התמחות,"internship, apprenticeship"
Occupations,נהג,driver
Occupations,טבח,cook
Occupations,מלצר,waiter
Occupations,מהנדס,engineer
Occupations,אדריכל,architect
Occupations,חקלאי,farmer
Conjunctions,אם,if
Conjunctions,אבל,but
Conjunctions,כי,because
Conjunctions,עדיין,still
Conjunctions,גם,also
Conjunctions,אף על פי,even though
Conjunctions,למרות,despite
Conjunctions,רק,only
Conjunctions,כבר,already
Conjunctions,חוץ מ...,except for...
Conjunctions,אפילו,even
Prepositions 2,בחוץ,outside
Prepositions 2,בפנים,inside
Prepositions 2,מול,"across, against"
Prepositions 2,בין,between
Prepositions 2,אל,to
Prepositions 2,על,on
Prepositions 2,לפני,before
Prepositions 2,אחרי,after
Prepositions 2,בלי,without
Dates and Time,יום,day
Dates and Time,היום,today
Dates and Time,יום ראשון,Sunday
Dates and Time,יום שני,Monday
Dates and Time,יום שלישי,Tuesday
Dates and Time,יום רביעי,Wednesday
Dates and Time,יום חמישי,Thursday
Dates and Time,יום שישי,Friday
Dates and Time,שבת,"Saturday, Shabbat"
Dates and Time,זמן,time
Dates and Time,מחר,tomorrow
Dates and Time,אחר הצהריים,afternoon
Dates and Time,שעה,hour
Dates and Time,דקה,minute
Dates and Time,שניה,second (time unit)
Dates and Time,שבוע,week
Dates and Time,חודש,month
Dates and Time,אתמול,yesterday
Dates and Time,לוח שנה,calendar
Dates and Time,תאריך,date
Dates and Time,ינואר,January
Dates and Time,פברואר,February
Dates and Time,מרץ,March
Dates and Time,אפריל,April
Dates and Time,מאי,May
Dates and Time,יוני,June
Dates and Time,יולי,July
Dates and Time,אוגוסט,August
Dates and Time,ספטמבר,September
Dates and Time,אוקטובר,October
Dates and Time,נובמבר,November
Dates and Time,דצמבר,December
Dates and Time,אביב,spring
Dates and Time,חורף,winter
Dates and Time,סתיו,"autumn, fall"
Dates and Time,קיץ,summer
Dates and Time,עונה,season
Dates and Time,חצות,midnight
Dates and Time,יום הולדת,birthday
Dates and Time,תקופה,period (time)
Dates and Time,רגע,moment
Dates and Time,אף פעם,never
Dates and Time,קצת,a bit
Dates and Time,עשור,decade
Dates and Time,עידן,era
Dates and Time,תמיד,always
Dates and Time,גיל,age
Dates and Time,דור,generation
Dates and Time,עכשיו,now
Dates and Time,מחרתיים,in two days
Dates and Time,כיום,nowadays
Dates and Time,שנתיים,two years
Dates and Time,חודשיים,two months
Dates and Time,שבועיים,two weeks
Dates and Time,יומיים,two days
Dates and Time,שעתיים,two hours
Dates and Time,שלשום,the day before yesterday
Dates and Time,הווה,present
Adjectives 2,עייף,tired
Adjectives 2,רגיל,"regular, ordinary"
Adjectives 2,אמיתי,"real, true"
Adjectives 2,מיוחד,special
Adjectives 2,זקן,old (people)
Adjectives 2,צעיר,young
Adjectives 2,פתוח,open
Adjectives 2,סגור,closed
Adjectives 2,נקי,clean
Adjectives 2,מלוכלך,dirty
Adjectives 2,חשוב,important
Adjectives 2,מרכזי,central
Adjectives 2,זול,cheap
Adjectives 2,יקר,expensive
Adjectives 2,חזק,strong
Adjectives 2,חלש,weak
Adjectives 2,עני,poor
Adjectives 2,עשיר,rich
Adjectives 2,אפשרי,possible
Adjectives 2,בלתי אפשרי,impossible
Adjectives 2,נהדר,"wonderful, great"
Adjectives 2,פרטי,private
Adjectives 2,חי,alive
Adjectives 2,נחמד,nice
Adjectives 2,הכרחי,necessary
Adjectives 2,עצמאי,independent
Adjectives 2,אחראי,responsible
Adjectives 2,חופשי,free
Adjectives 2,פשוט,simple
Adjectives 2,מצוין,excellent
Adjectives 2,מגעיל,"disgusting, nasty"
Adjectives 2,מושלם,perfect
Adjectives 2,שגוי,incorrect
Adjectives 2,נכון,correct
Adjectives 2,משעמם,boring
Adjectives 2,מעניין,interesting
Adjectives 2,רציני,serious
Adjectives 2,מפורסם,famous
Adjectives 2,שלילי,negative
Adjectives 2,חיובי,positive
Adjectives 2,קשה,"hard, difficult"
Adjectives 2,קל,"light, easy"
Adjectives 2,יעיל,efficient
Adjectives 2,נוח,comfortable
Adjectives 2,מקצועי,professional
Adjectives 2,צבאי,military (adj.)
Adjectives 2,מוכר,familiar
Adjectives 2,רזה,thin
Adjectives 2,שמן,fat
Adverbs,שם,there (location)
Adverbs,פה,here (location)
Adverbs,מאוד,very
Adverbs,עוד,more
Adverbs,כמו,"like, as"
Adverbs,פעם,"once, one time"
Adverbs,כאן,here (location)
Adverbs,די,enough
Adverbs,לעיתים קרובות,"often, frequently"
Adverbs,לעיתים רחוקות,"rarely, infrequently"
Adverbs,בכל זאת,anyway
Adverbs,באמת,"really, truly"
