#separator:tab
#html:false
Far, Distant	רחוק	rakhok
Long	ארוך	arokh
Short	קצר	katzar
Slow	איטי	iti
Fast	מהיר	mahir
Full	מלא	male
Empty	ריק	reik
Dry	יבש	yavesh
Wet	רטוב	ratov
Need (m.s.)	צריך	tzarikh
Me	אותי	oti
Thee, You (m.s)	אותך	ot'kha
Thee, You (f.s)	אותך	otakh
Him	אותו	oto
Her	אותה	otah
Us	אותנו	otanu
You (m.p)	אתכם	et'khem
You (f.p)	אתכן	et'khen
Them (m)	אותם	otam
Them (f)	אותן	otan
Tea	תה	teh
Fork	מזלג	maz'leg
Knife	סכין	sakin
Menu	תפריט	tafrit
Sauce, Gravy	רוטב	rotev
Vegetable	ירק	yerek
Pepper, Capsicum	פלפל	pil'pel
Recipe	מתכון	matkon
Honey	דבש	d'vash
Kitchen	מטבח	mit'bakh
Cucumber	מלפפון	m'laf'fon
Carrot	גזר	gezer
Candy	ממתק	mam'tak
Watermelon	אבטיח	avatiakh
Peanut	בוטן	boten
Onion	בצל	batzal
Grape	ענב	anav
Avocado	אבוקדו	avokado
Potato	תפוח אדמה	tapuakh adamah
Beverage, Drink	משקה	mashkah
Cherry	דובדבן	duvd'van
Gum	מסטיק	mastik
Mango	מנגו	mango
Garlic	שום	shum
Smell	ריח	reiakh
Taste	טעם	ta'am
Pot	סיר	sir
Ingredients	מצרכים	mitzrakhim
Flour	קמח	kemakh
Meal	ארוחה	arukhah
Cup, Glass	כוס	kos
Napkin	מפית	mapit
Spoon	כף	kaf
Bowl	קערה	k'arah
Teaspoon	כפית	kapit
Restaurant	מסעדה	mis'adah
Cookie	עוגייה	ugaiah
Jam	ריבה	rivah
Ice Cream	גלידה	g'lidah
Vegetarian (m.s)	צמחוני	tzim'khoni
Thirsty (m.s)	צמא	ta'ev
Salty (m.s)	מלוח	maluakh
Hot, Spicy (m.s)	חריף	kharif
Bitter (m.s)	מר	mar
To Cook, Boil (Piel)	לבשל	l'vashel
To Bake (Qal)	לאפות	le'efot
Coat	מעיל	m'il
Pants	מכנסיים	mikh'nasayim
